U+1228F	𒊏	ẓi, zzi, RA, rah2
U+12291	𒊑	tal, dal, DAL, RE, RI, TAL, degₓ, degx, di5
U+122A1	𒊡	
U+122B1	𒊱	
U+122C1	𒋁	ADKINX, ŠEŠ2, še8
U+122D1	𒋑	šemešal
U+122E1	𒋡	QA, SAL4, SILA3, ḲA
U+122F1	𒋱	
U+12202	𒈂	heš5
U+12212	𒈒	
U+12222	𒈢	ḪASḪUR, hašhur
U+12232	𒈲	MUŠ, girₓ, girx, šahan2, šer10
U+12242	𒉂	
U+12262	𒉢	NU11, duri, pil6, ĝešnu
U+12272	𒉲	
U+12282	𒊂	
U+12292	𒊒	RU, ŠUB, illar, sid
U+122A2	𒊢	
U+122B2	𒊲	ninim
U+122C2	𒋂	ŠEŠLAM
U+122D2	𒋒	ŠINIG
U+122E2	𒋢	ssu, KUŠ, SU, sug6, e6
U+122F2	𒋲	
U+12203	𒈃	kama5
U+12213	𒈓	ADAMIN, GIGAM, inbir
U+12223	𒈣	MA2, má
U+12233	𒈳	
U+12243	𒉃	dalhamun7, hamun
U+12253	𒉓	
U+12263	𒉣	AB, NUN, ZIL, eridu, nuĝx
U+12273	𒉳	
U+12283	𒊃	
U+12293	𒊓	SA
U+122A3	𒊣	muh3
U+122B3	𒊳	bir9
U+122C3	𒋃	lak, sit, zit, rit, AKA3, LAG, ŠID, ŠUDUM, UMBISAĜ, AG3, AG₃, AĜ3, AĜ₃, bisag2, bisaĝ2, bisan2, dim12, dilib, saĝĝa, kid4, nesaĝ2, tu14, tuba3, uttu2, zandara, šub6, silaĝ
U+122D3	𒋓	sir, ŠIR
U+122E3	𒋣	
U+122F3	𒋳	suv, SUB6, ŠUM, TAG, TIBIR, TUKU5, ZIL2, guruš4, šerim, šuš4, tak2
U+12204	𒈄	
U+12214	𒈔	
U+12224	𒈤	MAḪ, šutur
U+12234	𒈴	
U+12244	𒉄	ALLA, NAGAR
U+12254	𒉔	
U+12264	𒉤	
U+12274	𒉴	LAḪTAN
U+12284	𒊄	
U+12294	𒊔	sag@n, kiši4
U+122A4	𒊤	lib5
U+122B4	𒊴	PEŠ13, peš11
U+122C4	𒋄	ALAL, PISAĜ3, UMBISAĜ2, bisag3, bisaĝ3, bisan3, hubhub, mezem?
U+122D4	𒋔	
U+122E4	𒋤	SU3, SUD, SUG4, sir4
U+122F4	𒋴	
U+12205	𒈅	
U+12215	𒈕	ADX, RIN₅, RIN5
U+12225	𒈥	MAR
U+12235	𒈵	
U+12255	𒉕	
U+12265	𒉥	IMMAL, uš6, šallam2, šilam2
U+12275	𒉵	lahtan4
U+12285	𒊅	
U+12295	𒊕	sak, saki, ris, riš, Rash, Ras, Raš, ráš, DUL7, SA12, SAG, SAĜ, ŠAK, šeg10, šeg11, gud2, zug2, zug₂, KEŠ₂, SAǦ, saj
U+122A5	𒊥	gud2
U+122B5	𒊵	bir9b, habruda4
U+122C5	𒋅	hubhub2
U+122D5	𒋕	
U+122E5	𒋥	rad, rat, SUD2, ŠITA3
U+122F5	𒋵	silig4, tibir5
U+12206	𒈆	dubal4
U+12216	𒈖	GAR5, GUG2, LU3
U+12226	𒈦	vas, mas, MAŠ, ba7, sa9, zipah, ½
U+12236	𒈶	ERINX, RI8
U+12246	𒉆	BIR5, NAM, SIM, SIN2, SÍN
U+12256	𒉖	
U+12266	𒉦	ARḪUŠ2, immal2, uš5, šilam
U+12276	𒉶	LAḪTAN2
U+12286	𒊆	
U+12296	𒊖	kabx
U+122A6	𒊦	dilib5
U+122B6	𒊶	BIR6
U+122C6	𒋆	šim, šem, ŠIM, bappir2, epirx, ebirx, ir7, mud5, šembizi, sah7, šîm
U+122D6	𒋖	ŠITA, lidda
U+122E6	𒋦	SUḪUR, SUMUR2, ubi2
U+122F6	𒋶	
U+12207	𒈇	
U+12217	𒈗	sar, LUGAL, lillan, saĝ4, šar3, SUNKI, sarru
U+12227	𒈧	máš, MAŠ2, lalâm
U+12237	𒈷	ERINA8
U+12247	𒉇	NAM2
U+12257	𒉗	
U+12267	𒉧	
U+12277	𒉷	
U+12287	𒊇	
U+12297	𒊗	
U+122A7	𒊧	
U+122B7	𒊷	ĜIŠNIMBAR, SA6, SAG9, ŠA6, hud4
U+122C7	𒋇	bappir, lunga2
U+122D7	𒋗	SHU, šu, qat, ŠU
U+122E7	𒋧	SE3, SIG10, SUM, ŠUM2, zar3
U+122F7	𒋷	tibir2
U+12208	𒈈	gurud, dubal6
U+12218	𒈘	ADAMIN2
U+12228	𒈨	sip, šib, BA13, IŠIB, ME, MEN2, mi3, me8, ma6
U+12238	𒈸	
U+12248	𒉈	BÍ, BAR7, BE7, BI2, BIL, DE3, DU17, GIBIL4, GIR10, IZI, KUM2, LAM2, LEM4, LI9, NE, NI5, PEL, PIL, SAḪARX, ŠARX, ŠEĜ6, ZAḪ, bIL, du17, didalx, ibbi2, ibbix, kum2, lim4, esse
U+12258	𒉘	ÁG, AG2, AĜ2, EĜ3, EM3, IĜ3, eg3
U+12268	𒉨	
U+12278	𒉸	mut
U+12288	𒊈	
U+12298	𒊘	uru10, urum3
U+122A8	𒊨	DUL3, KUŠ2, KUŠU4, SUMUR, SUR2, šur2
U+122B8	𒊸	ŠAB6
U+122C8	𒋈	
U+122D8	𒋘	
U+122E8	𒋨	SUMAŠ
U+122F8	𒋸	UTTU, tibir₄, silig3, tibir4
U+12209	𒈉	
U+12219	𒈙	GUG5
U+12229	𒈩	sit, MES, RID, kišib
U+12239	𒈹	dinana, MÙŠ, INANA, INANNA, INNIN, MUŠ3, mim2, sed6, sukuš, zanaru, šuba4, suh10, Nanâ, sukux
U+12249	𒉉	eš13, enten
U+12259	𒉙	
U+12269	𒉩	AGARGARA
U+12279	𒉹	lahtan3
U+12289	𒊉	
U+12299	𒊙	hulum, hulumx
U+122A9	𒊩	šal, RAK, RÁK, GAL4, MI2, MUNUS, SAL, mug2, rag, min2
U+122B9	𒊹	ŠAR2
U+122C9	𒋉	šembulug5
U+122D9	𒋙	šú, ŠU2, ŠUŠ2, su2
U+122E9	𒋩	šur, SUR, ša2
U+122F9	𒋹	silig2, tibir3
U+1220A	𒈊	ešlug, hara3, dinig3, tešlug
U+1221A	𒈚	dim3, ddim3
U+1222A	𒈪	ûmi, GE6, GI6, GIG2, GIGGI, ĜI6, MI, ME2, ku10, kukku5
U+1223A	𒈺	
U+1224A	𒉊	emeš2, eš12
U+1225A	𒉚	SA10, sam2
U+1226A	𒉪	NIR, ŠER7, urgilim, šid3
U+1227A	𒉺	P, ĜIDRU, PA, SAG3, SIG3, UGULA, kun2, lu9, luĝ2, mu6, sullat2
U+1228A	𒊊	PIRIG, PIRIĜ, ne3, nisku, ug2
U+1229A	𒊚	
U+122AA	𒊪	
U+122BA	𒊺	SHE, ŠE, AŠNAN, NIGA, u20, šeʾam, šeʾum
U+122CA	𒋊	nug2
U+122DA	𒋚	SAH, šah, ŠUBUR, sha2, subur, SAH2, SACH, sašh
U+122EA	𒋪	SUR9, surru
U+122FA	𒋺	takax, KID2, TAK4, azad2, tag4, taka4, kid2, da13
U+1220B	𒈋	
U+1221B	𒈛	ḪULUḪ, LUḪ, SUKKAL, subur2, sukal
U+1222B	𒈫	z, MÍN, MIN, banmin
U+1223B	𒈻	SED
U+1224B	𒉋	BIL2, GIBIL, PEL2, bir9, bar7, bíL, bil2, pil2
U+1225B	𒉛	ŠAM2, ŠÁM
U+1226B	𒉫	ADAMIN4, eribura, NUN%NUN, lirum6
U+1227B	𒉻	PAD, ŠUK, kurum6, šukur2, šutug
U+1228B	𒊋	
U+1229B	𒊛	
U+122AB	𒊫	SANGA2, saĝa2
U+122BB	𒊻	US, BAZBAZX, UZ, še-X-X
U+122CB	𒋋	BAPPIR, LUNGA3, ŠINX, siraš3
U+122DB	𒋛	ẓi, zzi, SI, SIG9, si8, si-sa2, qur
U+122EB	𒋫	t, DA2, TA
U+122FB	𒋻	qud, qut, kut, šil, ḪAŠ, KU5, KUD, SILA, TAR, ṣuqi, suqi, ssuqi, haš  𒋻, kuksu, kur5, suq
U+1220C	𒈌	
U+1221C	𒈜	pah, KA5, LIB, LUB, LUL, NAR, LU5, LU₅, kušum2, še11, sulug, šatam, lab2, lup
U+1222C	𒈬	ĜU10, MU, muhaldim, suh7, šattim
U+1223C	𒈼	
U+1224C	𒉌	BE3, DIG, I3, IA3, LE2, LI2, LID2, NE2, NI, SUŠ2, ZAL, ZAR2, gamar, gur13, mu5, sal3, sul2, zaĝa, lí, Ì, ṣal, pè
U+1225C	𒉜	
U+1226C	𒉬	
U+1227C	𒉼	PAN, pana, tir5
U+1228C	𒊌	UK, PIRIĜ3, UG, UQ, pirig3, uḳ
U+1229C	𒊜	hulum2
U+122AC	𒊬	SHAR, KIRI6, MU2, SAR, ŠAR, sakar, sigx, mud6, nisig, sahar2, šar, šarrum
U+122BC	𒊼	
U+122CC	𒋌	šembulug3
U+122DC	𒋜	SA11, SU4, gunux
U+122EC	𒋬	
U+122FC	𒋼	GAL5, TE, GALLAx, GALLAₓ, teĝ3, mul2, temen, ten, ṭe4, mulₓ, tej3, teg̃₃
U+1220D	𒈍	
U+1221D	𒈝	EGIR5, EĜIR5, ḪUM, LUM, NUM2, GUM2, GUN5, guz, huz, kuĝx, num2, g̃ar8
U+1222D	𒈭	táh, DAḪ, TAḪ
U+1223D	𒈽	MUŠ2, SUSBU2
U+1224D	𒉍	
U+1225D	𒉝	
U+1226D	𒉭	NUNUZ, nus
U+1227D	𒉽	KUR2, PAB, PAP, bur₈  𒉽, bur8  𒉽, pa4
U+1228D	𒊍	aṣ, AS, AZ
U+1229D	𒊝	kana3
U+122AD	𒊭	ARA, EN8, ŠA, sa2-di
U+122BD	𒊽	garadin3
U+122CD	𒋍	ŠEMBI
U+122DD	𒋝	siq, sig, SI11, SIG, SIK, epig
U+122ED	𒋭	LAL3
U+122FD	𒋽	GUR8, URU5, ru10, uru5
U+1220E	𒈎	
U+1221E	𒈞	
U+1222E	𒈮	MUQ, MUG
U+1223E	𒈾	NA, mahra
U+1224E	𒉎	NI2
U+1225E	𒉞	
U+1226E	𒉮	USAN3
U+1227E	𒉾	PEŠ2, gilim2, kilim, kišib2, kiši5
U+1228E	𒊎	TIDNIM, TIDNUM
U+1229E	𒊞	dilib4
U+122AE	𒊮	šà, ŠA3, ŠAG4, ŠALAMBI, bir7
U+122BE	𒊾	KIŠI6, ŠEG9, kiši6
U+122CE	𒋎	ŠEMBULUGX
U+122DE	𒋞	GAR8, MURGU, SIG4, šeg12, libit, gar₈, ĝar8
U+122EE	𒋮	
U+122FE	𒋾	TI, TIL3, teĝ4, di3, ṭi, ṭì, ṭi3, ti3, tiĝ4
U+1220F	𒈏	
U+1221F	𒈟	LUGUD3
U+1222F	𒈯	ZADIM
U+1223F	𒈿	NA2, NU2, NUD
U+1224F	𒉏	NIM, NUM, GIR₂, tum4, num, niv
U+1225F	𒉟	suhuš2
U+1226F	𒉯	MUD3, pihu2
U+1227F	𒉿	PI, TAL2, WA, WE, WI, be6, wu, w, pe2, me8
U+1229F	𒊟	dilib6
U+122AF	𒊯	PEŠ4, iškila, sur4
U+122BF	𒊿	zin, DUR10, PISAN3, ŠEN, ŠIN
U+122CF	𒋏	
U+122DF	𒋟	SIG5, SHU3, se11
U+122EF	𒋯	gansis
U+122FF	𒋿	tibnu
U+12300	𒌀	mit, TIL, šumun
U+12310	𒌐	BARGI, MAŠGI
U+12320	𒌠	samag2
U+12330	𒌰	
U+12340	𒍀	GUR5, GURU5, GURUŠ3, ŠAKIR, ŠEGX, BUR₂, ušu, ušum, bulug2
U+12350	𒍐	
U+12360	𒍠	ZA3, ZAG, ZAK, en7
U+12370	𒍰	
U+12380	𒎀	
U+12390	𒎐	NIN9
U+12301	𒌁	EZINA3, TER, TIR, gamun2, TUR2, kisti
U+12311	𒌑	sam, ú, KUŠ3, U2, tešbi, HUB₂
U+12321	𒌡	samag3
U+12331	𒌱	
U+12341	𒍁	
U+12351	𒍑	US2, NITA, UŠ, unu8, ĝeš3, ṣâbê, ús, NET, NED, NIT, NID, išid, ussi
U+12361	𒍡	ZAMX
U+12371	𒍱	
U+12381	𒎁	
U+12391	𒎑	
U+12302	𒌂	
U+12312	𒌒	UP, UB, ob
U+12322	𒌢	UMBIN
U+12332	𒌲	
U+12342	𒍂	SILIG, banšurₓ, banšurx, šilig
U+12352	𒍒	kaš3
U+12362	𒍢	zeh, zze, ẓi, zzi, ṣe, sse, ZI2, ZÍ, ṣi, ZE2, se4, ZÉ
U+12372	𒍲	
U+12382	𒎂	
U+12392	𒎒	
U+12303	𒌃	NINNI5
U+12313	𒌓	utu, tam, A12, AḪ3, BABBAR, ḪAD2, ḪUD2, PIRIĜ2, U4, UD, UT, dag2, par2, da10, bir7, haš3, dutu, ud@s, bir2, kum4, la7, pirig2, ra3, siki2, ŠU₂, ul6, šarag, bar4, pár, Uṭ, Šamâs, Šamaš, û, lah3, tu4
U+12323	𒌣	SIMUG, UMUM, UMUN2, dim6
U+12333	𒌳	
U+12343	𒍃	
U+12353	𒍓	
U+12363	𒍣	ZI, SE2, SI2, ṢI2, ZE, ZID, ZIG3, SÍ
U+12373	𒍳	
U+12383	𒎃	
U+12393	𒎓	
U+12304	𒌄	
U+12314	𒌔	AḪ6, UḪ2
U+12324	𒌤	ABZUX, DE2, da9, dim6, dè
U+12334	𒌴	UR4, gur₁₅, gur15
U+12344	𒍄	
U+12354	𒍔	
U+12364	𒍤	zi&amp;zi
U+12374	𒍴	DAG3
U+12384	𒎄	
U+12394	𒎔	
U+12305	𒌅	TÚ, DU2, TU, TUD, TUM12, huduš, tur5
U+12315	𒌕	
U+12325	𒌥	
U+12335	𒌵	URI, tilla
U+12345	𒍅	
U+12355	𒍕	dan6
U+12365	𒍥	zid2, ZI3, ŠA₃, HUL₂
U+12375	𒍵	
U+12385	𒎅	
U+12395	𒎕	PÍR, PIR2
U+12306	𒌆	TUBAX, TUG2, azlag2, DUL5, i6, tu2, mur10, uru12, tuku2, umuš, ṭú
U+12316	𒌖	ITIMA2, itima2, utima2
U+12326	𒌦	KALAM, UĜ3, UKU3, UN, mât, mâtim, uj3, ug̃₃
U+12336	𒌶	URI3, URIN, URU3
U+12346	𒍆	
U+12356	𒍖	UŠX
U+12366	𒍦	ZIB, kad6, KAD8
U+12376	𒍶	
U+12386	𒎆	
U+12396	𒎖	
U+12307	𒌇	DU12, TUG, TUK, TUKU, tuc
U+12317	𒌗	ITID, iti, itid, itud, ITU
U+12327	𒌧	
U+12347	𒍇	ĜIŠGAL, U18, ULU3, URU17, gišgal, gisgal, lu7
U+12357	𒍗	GURUN, UŠ2
U+12367	𒍧	
U+12377	𒍷	
U+12387	𒎇	
U+12397	𒎗	TI2
U+12308	𒌈	dum, ÍB, ÍP, IB2, TUM, egir₄, egir4
U+12318	𒌘	
U+12328	𒌨	liq, lik, taš, teš, HU, UR, dul9, lu6, šuzi, teš2, tas
U+12338	𒌸	ARX, uru18
U+12348	𒍈	
U+12358	𒍘	UŠUMX, dun5, du9
U+12368	𒍨	ḪAŠ2, ZIB2, ZIG, ZIK, zibba, ziq
U+12378	𒍸	
U+12388	𒎈	
U+12398	𒎘	eme1
U+12309	𒌉	DUMU, BAN3, BANDA3, DI4, TUR, peš7, ṭur, mâr
U+12319	𒌙	murx, MURₓ, murub6
U+12329	𒌩	UR%UR, UR×UR, lirum8, urbigu
U+12339	𒌹	
U+12349	𒍉	
U+12359	𒍙	UTUKI
U+12369	𒍩	ZIZ2
U+12379	𒍹	GA2×AN+KAK+A
U+12389	𒎉	ADX
U+12399	𒎙	nis, MAN, niš, puzur2, tab4
U+1230A	𒌊	
U+1231A	𒌚	ITI, ud@s
U+1232A	𒌪	dul9
U+1233A	𒌺	UKKIN, UNKEN, kin5
U+1234A	𒍊	
U+1235A	𒍚	UD5, UZ3, uzud
U+1236A	𒍪	ZU3, sú, ṣú
U+1237A	𒍺	GA2×AŠ2
U+1238A	𒎊	
U+1230B	𒌋	U1, V, BUR3, ŠU4, U, GE₁₄, GE14, giguru, šil3, buru3, 10
U+1231B	𒌛	
U+1232B	𒌫	ÚR, UR2, uru8
U+1233B	𒌻	
U+1234B	𒍋	ŠEG5
U+1235B	𒍛	
U+1236B	𒍫	ZU5
U+1237B	𒍻	ge24, santak2, ulil
U+1238B	𒎋	
U+1230C	𒌌	DU7, UL, mul4, ŠAR₂, ullu
U+1231C	𒌜	UDUG, šedu2
U+1232C	𒌬	
U+1233C	𒌼	šakir3, šakira3
U+1234C	𒍌	
U+1235C	𒍜	UZU
U+1236C	𒍬	AZU, ušbar2, uzu2
U+1237C	𒍼	GI17, GIG, SIMX
U+1238C	𒎌	mes, mis, MEŠ, i4
U+1230D	𒌍	ES2, EŠ, ba3, ušu3
U+1231D	𒌝	UM, tehi2, dih2, MUS
U+1232D	𒌭	
U+1233D	𒌽	ARALIX
U+1234D	𒍍	erim6, uru2
U+1235D	𒍝	ṢA2, ZA, SA3, zagga2, SÀ
U+1236D	𒍭	ZUBUR
U+1237D	𒍽	LAK, ḪUŠ(LAK240)
U+1238D	𒎍	
U+1230E	𒌎	
U+1231E	𒌞	emeda3
U+1232E	𒌮	
U+1233E	𒌾	uru11, urutamga
U+1234E	𒍎	BANŠUR, banšur2, banšur
U+1235E	𒍞	AD4, AS4
U+1236E	𒍮	zu, ZUM, ẓu, ṣu, ssu2, ḪAŠ4, RIG2, SUM2, zu3, SÚM, zu6, żu
U+1237E	𒍾	
U+1238E	𒎎	NA4, ia4
U+1230F	𒌏	GARADIN9
U+1231F	𒌟	emeda3
U+1232F	𒌯	erin9, erim7, eren8, UR2×ḪA
U+1233F	𒌿	ERIM3, erim3
U+1234F	𒍏	DAB6, URUD, URUDA, URUDU, minbulug, šen2, tu3, da5
U+1235F	𒍟	
U+1236F	𒍯	
U+1237F	𒍿	
U+1238F	𒎏	NIN, e5, egir3, egi2, ereš
U+12480	𒒀	
U+12481	𒒁	
U+12482	𒒂	
U+12483	𒒃	
U+12484	𒒄	
U+12485	𒒅	
U+12486	𒒆	
U+12487	𒒇	
U+12488	𒒈	
U+12489	𒒉	
U+1248A	𒒊	
U+1248B	𒒋	
U+1248C	𒒌	
U+1248D	𒒍	
U+1248E	𒒎	
U+1248F	𒒏	
U+12490	𒒐	
U+12491	𒒑	
U+12492	𒒒	
U+12493	𒒓	
U+12494	𒒔	
U+12495	𒒕	
U+12496	𒒖	
U+12497	𒒗	
U+12498	𒒘	
U+12499	𒒙	
U+1249A	𒒚	
U+1249B	𒒛	
U+1249C	𒒜	
U+1249D	𒒝	
U+1249E	𒒞	DUG×LAK-020, DUG×LAK020
U+1249F	𒒟	
U+124A0	𒒠	
U+124A1	𒒡	
U+124A2	𒒢	
U+124A3	𒒣	
U+124A4	𒒤	
U+124A5	𒒥	
U+124A6	𒒦	
U+124A7	𒒧	
U+124A8	𒒨	
U+124A9	𒒩	
U+124AA	𒒪	
U+124AB	𒒫	
U+124AC	𒒬	
U+124AD	𒒭	
U+124AE	𒒮	
U+124AF	𒒯	
U+124B0	𒒰	
U+124B1	𒒱	
U+124B2	𒒲	
U+124B3	𒒳	
U+124B4	𒒴	
U+124B5	𒒵	
U+124B6	𒒶	
U+124B7	𒒷	
U+124B8	𒒸	
U+124B9	𒒹	
U+124BA	𒒺	
U+124BB	𒒻	
U+124BC	𒒼	
U+124BD	𒒽	
U+124BE	𒒾	
U+124BF	𒒿	
U+124C0	𒓀	
U+124C1	𒓁	
U+124C2	𒓂	
U+124C3	𒓃	
U+124C4	𒓄	
U+124C5	𒓅	
U+124C6	𒓆	
U+124C7	𒓇	
U+124C8	𒓈	
U+124C9	𒓉	
U+124CA	𒓊	
U+124CB	𒓋	
U+124CC	𒓌	
U+124CD	𒓍	
U+124CE	𒓎	
U+124CF	𒓏	
U+124D0	𒓐	
U+124D1	𒓑	
U+124D2	𒓒	
U+124D3	𒓓	
U+124D4	𒓔	
U+124D5	𒓕	LAK-003, LAK003
U+124D6	𒓖	LAK-021, LAK021
U+124D7	𒓗	LAK-025, LAK025
U+124D8	𒓘	LAK-030, LAK030
U+124D9	𒓙	LAK-050, LAK050
U+124DA	𒓚	LAK-051, LAK051
U+124DB	𒓛	LAK-062, LAK062
U+124DC	𒓜	LAK-079×LAK-079 GUNU, LAK079×LAK079 GUNU
U+124DD	𒓝	LAK-080, LAK080
U+124DE	𒓞	LAK-081×LAK-081, LAK081×LAK081
U+124DF	𒓟	LAK-092, LAK092
U+124E0	𒓠	LAK-130, LAK130
U+124E1	𒓡	LAK-142, LAK142
U+124E2	𒓢	LAK-210, LAK210
U+124E3	𒓣	LAK-219, LAK219
U+124E4	𒓤	LAK-220, LAK220
U+124E5	𒓥	LAK-225, LAK225
U+124E6	𒓦	LAK-228, LAK228
U+124E7	𒓧	LAK-238, LAK238
U+124E8	𒓨	LAK-265, LAK265
U+124E9	𒓩	LAK-266, LAK266
U+124EA	𒓪	LAK-343, LAK343
U+124EB	𒓫	LAK-347, LAK347
U+124EC	𒓬	LAK-348, LAK348
U+124ED	𒓭	LAK-383, LAK383
U+124EE	𒓮	LAK-384, LAK384
U+124EF	𒓯	LAK-390, LAK390
U+124F0	𒓰	LAK-441, LAK441
U+124F1	𒓱	LAK-449, LAK449
U+124F2	𒓲	LAK-449×GU, LAK449×GU
U+124F3	𒓳	LAK-449×IGI, LAK449×IGI
U+124F4	𒓴	LAK-449×PAP×LU3, LAK449×PAP×LU3
U+124F5	𒓵	LAK-449×PAP×PAP×LU3, LAK449×PAP×PAP×LU3
U+124F6	𒓶	LAK-449×U2×BA, LAK449×U2×BA
U+124F7	𒓷	LAK-450, LAK450
U+124F8	𒓸	LAK-457, LAK457
U+124F9	𒓹	LAK-470, LAK470
U+124FA	𒓺	LAK-483, LAK483
U+124FB	𒓻	LAK-490, LAK490
U+124FC	𒓼	LAK-492, LAK492
U+124FD	𒓽	LAK-493, LAK493
U+124FE	𒓾	LAK-495, LAK495
U+124FF	𒓿	LAK-550, LAK550
U+12500	𒔀	LAK-608, LAK608
U+12501	𒔁	LAK-617, LAK617
U+12502	𒔂	LAK-617×ASH, LAK617×ASH
U+12503	𒔃	LAK-617×BAD, LAK617×BAD
U+12504	𒔄	LAK-617×DUN3 GUNU GUNU, LAK617×DUN3 GUNU GUNU
U+12505	𒔅	LAK-617×KU3, LAK617×KU3
U+12506	𒔆	LAK-617×LA, LAK617×LA
U+12507	𒔇	LAK-617×TAR, LAK617×TAR
U+12508	𒔈	LAK-617×TE, LAK617×TE
U+12509	𒔉	LAK-617×U2, LAK617×U2
U+1250A	𒔊	LAK-617×UD, LAK617×UD
U+1250B	𒔋	LAK-617×URUDA, LAK617×URUDA
U+1250C	𒔌	LAK-636, LAK636
U+1250D	𒔍	LAK-648, LAK648
U+1250E	𒔎	LAK-648×DUB, LAK648×DUB
U+1250F	𒔏	LAK-648×GA, LAK648×GA
U+12510	𒔐	LAK-648×IGI, LAK648×IGI
U+12511	𒔑	LAK-648×IGI GUNU, LAK648×IGI GUNU
U+12512	𒔒	LAK-648×NI, LAK648×NI, šakir2
U+12513	𒔓	LAK-648×PAP×PAP×LU3, LAK648×PAP×PAP×LU3
U+12514	𒔔	LAK-648×SHESH×KI, LAK648×SHESH×KI
U+12515	𒔕	LAK-648×UD, LAK648×UD
U+12516	𒔖	LAK-648×URUDA, LAK648×URUDA
U+12517	𒔗	LAK-724, LAK724
U+12518	𒔘	LAK-749, LAK749
U+12519	𒔙	
U+1251A	𒔚	
U+1251B	𒔛	
U+1251C	𒔜	
U+1251D	𒔝	
U+1251E	𒔞	
U+1251F	𒔟	
U+12520	𒔠	
U+12521	𒔡	
U+12522	𒔢	
U+12523	𒔣	
U+12524	𒔤	
U+12525	𒔥	
U+12526	𒔦	
U+12527	𒔧	NINDA2×LAK-050, NINDA2×LAK050
U+12528	𒔨	
U+12529	𒔩	
U+1252A	𒔪	
U+1252B	𒔫	
U+1252C	𒔬	
U+1252D	𒔭	
U+1252E	𒔮	
U+1252F	𒔯	
U+12530	𒔰	
U+12531	𒔱	
U+12532	𒔲	
U+12533	𒔳	
U+12534	𒔴	
U+12535	𒔵	
U+12536	𒔶	
U+12537	𒔷	
U+12538	𒔸	
U+12539	𒔹	
U+1253A	𒔺	
U+1253B	𒔻	
U+1253C	𒔼	
U+1253D	𒔽	
U+1253E	𒔾	
U+1253F	𒔿	URU×LAK-668, URU×LAK668
U+12540	𒕀	
U+12541	𒕁	
U+12542	𒕂	
U+12543	𒕃	
