word,transcription,note,definition,
-𐁖-𐀂-𐀴,*56-i-ti,,•dative? theonym? •variant spelling of *56-i-ti ,
-𐁖-𐀨-𐀓-𐀊,*56-ra-ku-ja,,' presumably refers to the colour of the cloths; if identical with pa-ra-ku-ja it could perhaps be compared to terms like σμάραγδος ''emerald'' or βαρακίς γλαύκινον ἱμάτιον ''bluish green piece of cloth'' (Hesychius) (??) with pa-ra-ku- colour •nominative plural neuter description of textiles ⇔ pa-ra-ku-ja ',
𐁁-𐀏-𐀭-𐀔,ai-ka-sa-ma,<> arrows?,points heads,
𐁁-𐀭,ai-sa,,portion,
𐁁-𐀼,ai-za,αἶγες,goat,
𐀟,pe,•past part port 𓉐,last years,
𐀡-𐀴-𐀛-𐀀,Po-ti-ni-a,√Potentza,goddess surname,
𐀤,qe,que,and,
𐀀-𐀄-𐀤,a-u-qe,neither,•variant for [[o-u-qe]] ,
𐀀-35-𐀏,a-*35-ka,,•adjective describing textiles? ,
𐀀-35-𐀵,a-*35-to,,•adjective describing textiles? ,
𐀀-𐀁-𐀴-𐀵,a-e-ti-to,,'henna?  not-Heti-scented or -softened •epithet of sage-scented oil: ''without e-ti'' ',
𐀀-𐀃-𐀽-𐀍,a-o-ze-jo,,•second element of compound place name? see e-ro2-ne ,
𐀀-𐀅-𐀨-𐀴-𐀍,a-da-ra-ti-jo,,•patronymic adjective ⇔ Ἄδρηστος ,
𐀀-𐀅-𐀷-𐀯-𐀍,a-da-wa-si-jo,,•adjective describing a man perhaps patronymic ,
𐀀-𐀆-𐀳,a-de-te,,•binder? riveter ⇔ (*-te *-te-re) a-ke-te-re a3-te-re ko-re-te-re ma-te-re pi-ri-je-te-re ra-pte-re tu-ka-te-re •dual of a-de-te  ,
𐀀-𐀆-𐀸,a-de-we,,,
𐀀-𐀇-𐀪-𐀊-𐀳,a-di-ri-ja-te,,,
𐀀-𐀇-𐀪-𐀊-𐀳,a-di-ri-ja-te,<> decorate 𓋴 𓐬 𓏜 ?,inlaid with a figure of a man,
𐀀-𐀊-𐀕-𐀜,a-ja-me-no,,•inlaid masculine nominative singular a) aplicado a cajas de carros (KN Sf) b) un nombre de materia ⇔ e-re-pa-te pa-ra-ku-we ku-ru-so etc. c) la parte del objeto afectada o del motivo empleado aplicado a piezas de mobiliario ⇔ a-di-ri-ja-pi po-ni-ki-pi etc. inlaid always followed by a material in the instrumental •feminine nominative singular el mismo que a-ja-me-no   (editors Yves Duhoux and Anna Morpurgo Davies)   kar WNXIV.164 participle candidates,
𐀀-𐀇-𐁒-𐀭,a-di-*22-sa,,•obscure (i.e. not known) KN F: GRA+PE NI ,
𐀀-𐀊-𐀕-𐀙,a-ja-me-na,,with symbols,
𐀀-𐀎-𐀔-𐀙-𐀐,a-*65-ma-na-ke,,•recipient of offerings theonym? KN Fs: HORD NI ,
𐀀-𐀎-𐀙,a-*65-na,,•obscure (i.e. not defined) ,
𐀀-𐀏-𐀨-𐀜,a-ka-ra-no,,'without a top showing that as one would expect the different components of a table (top legs etc.) were separate pieces and they were assembled only when the table had to be used. •adjective describing a table ''headless''? ⇔ ἀκάρηνος  ',
𐀀-𐀏-𐀲-𐀍,a-ka-ta-jo,à Kursta,by the coast,
𐀀-𐀏-𐀹-𐀊-𐀆,a-ka-wi-ja-de,,name of a feast,
𐀀-𐀐,a-ke,,•3rd singular present indicative active voice of ἄγω? ,
𐀀-𐀐,a-ke,,leads/guides,
𐀀-𐀐-𐀄,a-ke-u,,powerfull,
𐀀-𐀐-𐀚-𐀄-𐀯,a-ke-ne-u-si,,,
𐀀-𐀐-𐀚-𐀄-𐀯,a-ke-ne-u-si,,being purified,
𐀀-𐀐-𐀤,a-ke-qe,,,
𐀀-𐀐-𐀩,a-ke-re,,'•''he collects (goats)'' ⇔ ἀγείρω ',
𐀀-𐀐-𐀩-𐀗,a-ke-re-mo,,'•occupation ''hunter'' ⇔ ἀργεμών •genitive of a-ke-re-mo a-ke-re-mo-no in KN V: ko-re-te po-ro-ko-re-te qa-ra: KN V ru-ki-to: KN V? ',
𐀀-𐀐-𐀩-𐀮,a-ke-re-se,,'•''took'' or ''will take'' ⇔ ἀγρέω ἄγρει ⇔ (o-) o-di-do-si o-de-ka-sa-to o-wo-ze •thus he took (will take) ',
𐀀-𐀐-𐀩-𐀮,a-ke-re-se,,took,
𐀀-𐀐-𐀫,a-ke-ro,,messenger,
𐀀-𐀐-𐀳-𐀩,a-ke-te-re,,'finishers •description of bronze smiths probably ''those who practise their craft'' ⇔ ἀσκέω ''work raw materials'' •nominative singular of a-ke-te-re? perhaps variant   ',
𐀀-𐀐-𐀴-𐀪-𐀀,a-ke-ti-ri-a,,decorator (female),
