№	English	Kurukh कुँड़ुख़	PIE	
124	to sit	ओक्कना (okknā)		-
125	to stand	इजना (ijnā)		
126	to turn (intransitive)	किंद्रारना (kindrarnā)		
127	to fall	खत्रना (khatrnā)		
128	to give	चि'इना (ci'inā)		
129	to hold	धरना (dharnā)		
130	to squeeze	पीख़ना (pīxnā)		
131	to rub	रग्द'आना (ragd'ānā)		
132	to wash	नोँड़ना (nõṛnā)		
133	to wipe	निड़गना (niṛgnā)		
134	to pull	नतगना (natagnā)		
135	to push	तुकना (tuknā)		
136	to throw	हेब्ड़ना (hebṛnā)	𓇋 𓃀 𓃙  hebrew? 𓃚 ? heben?	
137	to tie	हे'एना (he'enā)	nähen han syn?	
138	to sew	ओज्जना (ojjnā)	hekel?	
139	to count	गन्ना (gannā)	≈	
140	to say	ब'अना (ba'anā)		
141	to sing	पाड़ना (pāṛnā)	play?	
142	to play	बेचना (bēcnā), अस्सना (assnā) (for instruments)		
143	to float	ओगना (ōgnā)	= swim	
144	to flow	बोहारना (bohārnā)	@ Bach	
145	to freeze	कड़रना (kaṛrnā)	cryo <> cold	
146	to swell	पूख़ना (pūxnā)		
147	sun	बीड़ी (bīṛī)	𒌓 BIR₂ 	
148	moon	चंदो (candō)	candle @ Hindi	
149	star	बिंको (biṅkō)	"𓃀 𓄿 𓇼 बिंको biṅkō ""star"" <> 𓋹 𓈖 𓐍 Phoinike"	<<
150	water	अम्म (amm)	𒀀 mû 𒈨 ME marine	
151	rain	चेँप (cē̃p)		
152	river	ख़ाड़ (xāṛ)		
153	lake	पोखारी (pokharī)		
154	sea	दर्या (daryā)		
155	salt	बेक (bēk)		
156	stone	पखना (pakhnā)		
157	sand	चल्कुर (calkur)		
158	dust	धुली (dhulī), रिँड़ो (rĩṛō)		
159	earth	ख़ेख़ेल (xēxel)		???
160	cloud	बदाली (badālī)		
161	fog	कुही (kuhī)		
162	sky	मेर्ख़ा (merxā)		???
163	wind	ताका (tākā)	𓊡 𓏲 #ṯꜣw 𒅎 TU 	
164	snow	कीबा (kībā)		
165	ice	कीबा (kībā), बरफ (baraph)		
166	smoke	मोज्ख़ा (mojxā), मोस्गा (mosgā)	s'mojxā mosgā => black	
167	fire	चिच्च (cicc)		⚠️
168	ash	चिंद (cind)	cinder	
169	to burn	ओल्दना (oldnā)		
170	road	डहरे (ḍahre), पाबे (pābe)	track ?	?
171	mountain	पर्ता (partā)	part ?	?
172	red	ख़ेँसो (xē̃sō)	ˣrosso	
173	green	हरियर (hariyar)	ᵍharin	
174	yellow	बाल्का (bālkā)		
175	white	पंडरू (paṇḍrū)	le'banon	
176	black	मोख़ारो (moxāro)	𓅓 𓐍 black mocca	
177	night	माख़ा (māxā)	^^ mnacht	
