 № 	English 	Ket 	PIE ≠ TURK	Tlingit 	Navajo 	'Dena''ina '	PIE/CN	Hupa 	Slavey 	Kott 	Eyak
1	I 	āt 	at.I jI	x̱át 	shí 	shi 	wo/we	whe: 	sı̨ 	ai 	xuː, (possessive morpheme) si
2	you (singular) 	ū, u, uˑ, uːge 	you, ni	wa.é 	ni 	ni 	ni	ning 	nı̨ 	au 	ʔiː
3	he 	bū 	bu:who	hú 	bí 	be- 	who	xong, min 		uju, hutu 	(pronom. morph.; poss. and v. prefix of d. obj.) ʔu
4	we 	ə̄t, ǝt, ǝt-n 	at.nou	uháan 	nihí 	na- 	nous	nehe 		ajoŋ, ay-oŋ 	taː, (oblique, poss.) qʰaː
5	you (plural) 	ə̄k 	a’cyou ni’	yeewháan 	nihí 	h- 	nin	nohn(i) 		auoŋ	
6	they 	būŋ 	bu+n=plural	hás 	bí 	yina, qu- 	them	xong 		uniaŋ, hatien 	ʔǝ-yǝq, ʔu-yǝq
7	this 	kiˑ (near), kiˑ-rʸ, kiˑdǝ, kiˑrʸǝ, kiˑrʸ (masc.), kˈi-rʸe (fem./neut.), kˈi-nʸa (pl.) 	ce	yá (near), hé (nearest) 	díí 	gini 	di.te	de:, teː, teː-t 	dı 	inu 	ʔǝl, ʔãː
8	that 	tuˑ (intermediate distance), tuˑ-rʸ, tuˑdǝ, tuˑrʸǝ, tuˑrʸ (masc.), tˈu-rʸe (fem./neut.), tˈu-nʸa (pl.), qa (far), qaˑ-rʸ (masc.), qa-rʸa (fem./neut.), qa-nʸa (pl.) 	a, da, wo	wé (that; neutral distance), yú (yonder) 	éí 	ghini 	yonder	hay(i), yo:w (close by), ye:w (far off) 	eyı 	uy-oː (masc.), unʸa (fem.), uni-oŋ (pl.), ujöm 	ʔǝw, ʔuː
9	here 	kiseŋ 	hir.sein	yáat, héit 	kwii, kweʼé 	ey gu 		de:, digyun(g) 	dı 	ini	
10	there 	qaseŋ 	dga.sein	yóot, wéit 	níláahdi 	yeh 		yo:wi, yo:w (close by), ye:w (far off) 	eyı		
11	who 	bˈitsʸe (masc.), bɛsʸa (fem.), ˈana, ˈanät, anet, anasʸ 	hoi? Verda?	aa, aadóo, aadóoch (erg.) 	háí 	vada 		dundi 		a=ši-x 	tuː
12	what 	akus, ˈakusʸ ~ aksʸ 	qvas	daa, daat 	daa 	yada 		daydi 		ši-na, še-na, ašix, bi-ʎäŋ 	teː
13	where 	biles 		goo 	háadi 	ndaha 		da:ydi, -ding 		bi-li	
14	when 	aska 	gwann	gwátk (past), gwátgeen (fut.) 	hahgo 	hnuyu 		'-dung'' (in the past), -ding'' (in the past), -de'' (in the future), dahun''di (interrogative), mił (temp. adv.)'			
15	how 	bila 	wie	wáa 	haa 	'ch''adach'' '		(du)xwe:di 	ašix		
16	not 	bə̄n, bǝnʸ 	bu.no	tléil, hél, l 	doo 	'nch''u '		do, toː- 		boː (prohibitive), mon, moːn 	Err:508
17	all 	bɯlda, bˈɨlʸda, bˈɨlʸdɛ 	bAlle da:tout	ldakát 	tʼáá ałtso 	't''anch''q''u, łuq''u '		ʔah-tʼiŋ 		bar, ba:r (a Turkic borrowing), uːt-am 	ɬi-ʔqʼ
18	many 	oˀn, ɔ̂nʸ 	1:einige	aatlein, sha-ya-di-haa (there are many) 	łą́ 			ła:n, ɬaŋ 		payaŋ 	kʼu=tʼuʔ
19	some 	samla 	some	x̱oo (among) 	łaʼ 			me:lah (some of it, some of them)			
20	few 	qomat 	some		tʼáá díkwíí 	'dnaghelchiq'' '		do:-ła:n-ts			
21	other 	bīk 	bi2	ch’a g̱óot 	łaʼígíí 	'ighil''i'					
22	one 	qūs, qu-sʸ, qɔʔ-k 	ek.us 1.1	'tléix'' '	łáaʼii, tʼááłáʼí 	'ts''iłq''i '		'ła'' '	líe 	hu:cha, huː-ča 	ɬĩhq-ih, LinhG-ih
23	two 	ɯ̄n, ɨn 	déix̱:deux, ni ɯ̄n, ɨn	déix̱ 	naaki 	nutiha 	ni	nahx 	ǫki 	i:na, (older sources) ˈinʸa 	'laʔt-ih, la''d-ih'
24	three 	doˀŋ 	tˀeen, tááʼ	'nás''k '	tááʼ 	'tuq''i '		'ta:q'' '	tai 	to:nga 	't''uhLga'
25	four 	sīk 	sì 四… denk?	'daax''oon '	dį́į́ʼ 	'denk''i '		'dink'' '	dįį 	shégang 	'qAlahqa''ga'
26	five 	qāk 	qüank keijínq	keijín 	ashdlaʼ 	'ch''qilu '		'chwola'' '	sųlái 	xe:gä 	'ch''a:n''-ih'
27	big 	qaˀ 	'qara ka''a'	ya-gei, tlein 	nitsaa 	'ka''a '		-kyoh, -kyah, =kʰʸah (light), =kʰʸaːw (heavy) 		fačaː, pʰačaː, (older form) pačaga 	Err:509
28	long 	ugde, ˈugde-sʸ 	widge ¬naz nose;)	li-yaat’ 	nineez 	dghiłnaz 				uy 	Err:508
29	wide 	qiil 	dghił tall	ya-woox̱’ 	nteel 	dghiłtal 		-tehł			
30	thick 	boˀl, bəsl, sūk 	Sūk, bary…	si-kaak 	áníłtsááz 	dghiłtsuz 		dita:n (it is thick), nitsa:s 		hagal, hakal, puchar	
31	heavy 	səə, sʸɜː-sʸ, sɜː, sʸoaga 	schwer	ya-dál 	ndaaz 	dghiłduz 				šiːk-ŋ 	Err:508
32	small 	həna, hˈɜnʸa, ˈim-da 	≠hühner	ya-géik’ 	yázhí 	gguya 		'misGiy''ts (it is little, small), =kiyeʔ, =kiyeʔ-c, =kiyʔ-c '		kišlaː, (older sources) imɨraŋˈaga, imiraŋaga 	kʰučʼ-k, kʰucʼ-k, (dim./affectionate suffix) -kʰih
33	short 	hitim, hɔlʸ-sʸ, hɔʔlʸ, hoːli 	<cut	ya-yaatl’ 	áłtsʼíísí 	'dghiłggech'' '		didzit (it is short) 		tʰuːki 	Err:509
34	narrow 	tòʁ 		ya-saa 	áłtsʼóózí 	dghiłdit 		'istik'' (it is thin, slender, narrow) '		tʰaːge	
35	thin 	haksem, hˈaksʸ-em, hˈaksʸ-im, haːqs-em (flat objects), toʁoj, tɔ̂ʁ, tɔʁa, tɔʁǝ, to(ː)ɢalʸa, toɢo (3D objects) 	hak.slim	li-xoon, shi-g̱aax̱ʼ (animal), ḵ’aatl’ (flat object) 	áłtʼą́ą́ʼígo 			'istik'' (same as above) '		fač-am, pʰač-am 	#NAME?
36	woman 	qīm, qiˑm, qiːm 	queemn, qwoman	shaawát, sháa 	asdzání 	'k''isen '		'tsumehstł''o:n, ''awhxich''e'' (archaic wealthy woman), cʰamehsƛʼoː, '	ts’élî (woman), gotsų (old lady) 	ali(ː)t, alat (also, wife) 	qʰeʔɬ
37	man (adult male) 	hīɣ 	Herr	ḵáa 	hastiin 	'quht''ana '		xo=ʔes=ta-y, xo=ʔos=ta-y, xʷe=ʔes=ta-y 	denezhu, ǫhndaa (old man), gotsíe (old man), cheekua (young man) 	fiː, (little man) ig 	ɬilaːʔ
38	man (human being) 	keˀt, deng pl 	Don 四 Ket?	lingít 	diné 	'qut''ana '		'k''iwinya''a:n, kʼʸi=win=yaʔn=yaːn (lit. acorn-eater) '	dene 	hit, het, čeäŋ pl 	tǝχũh
39	child (a youth) 	dɯ̄l 	doll, yilad, chín Kind	'yát, k''átsk''u '	áłchíní 	'ch''anigen '		'ch''iwhxiy '	ts’údââ 	dakat, dal	
40	wife 	qīm 	queemn, qwoman	shát 	hweʼesdzáán 	'-''u '		'-''ut '	setséke 	ali(ː)t, alat (also, woman)	
41	husband 	tēt 	dad	x̱úx̱ 	hahastiin 	-qen 		'-xung'' '	sedené 	had-kip, hatkït(n)	
42	mother 	ām 	Amma	tláa 	amá 	-unkda 		-chwing 	semǫ, amá 	ama(n), áma, ami	
43	father 	ōp 	Opa	éesh 	azhéʼé 	-tukda 		'-ita'' '	setá 	op, öpang, öan, öp	
44	animal 	assel 	Assel ;)	gutu.ádi (forest animal) 	naaldeehii 			'mixo''osday'' (male), łing'' (pet) '		-ša, -šïn, šetn, šele, achánše (wild)	
45	fish 	īs, iˑsʸ 	ᵛish	x̱áat (salmon, fish), l’ook (coho salmon) 	łóóʼ 	'łiq''a '		'ło:q'' (also can refer to salmon alone), (orig. form) *ɬoːqʼi, (all edible water creatures, probably from water+meat) tʰohnaːy '	łue 	teːg, teːx 	tʰǝʔ-yaʔ
46	bird 	dum (little bird, youngling), keŋassel, kˈe-ŋ-asʸːelʸ 	dommel, tschirp	ts’ats’ée, ts’ítskw (songbird) 	tsídii 	ggaggashla 		'k''iya:wh, kʼʸi=yaːʍ '		al=tuːma# (little bird, youngling) 	'qǝnuh (water fowl), qãː-ti-čʼičʼ-k'' (non-aquatic songbird), yǝχ=tǝ=ɬǝ=kʼaʔtʼ-χ,'
47	dog 	tīp 	tai, Kettel, Luka	keitl 	łééchąąʼí 	'łik''a '		'no:k''ine:yo:t, ło:q''-ma:''a'', ɬiŋʼ, =liŋ-kʼʸ-eʔ '		al=šip 	χǝwaː
48	louse 	ə̀ɣ, ɜ̂ɣ 	eL.ovse	wéis’ 	yaaʼ 	eyu 		'ma:''a'', ya'' (head louse) '		ikˈi 	kuks-k
49	snake 	tìɣ, tîɣ, tiːɣǝ, tieɢ 	Tłʼiish <<	'l’ut’tláaḵ (''tongue-arrow'') '	tłʼiish 	[no original term] 		miłtsah-xosin (rattlesnake), ƛʼiwiʍ, ƛʼi(ː)ʍ 		oŋ-xoy, oŋ-koy 	χuhχ-ʔa-ʔluw-yuː (snakes, lit. big worms), ʔuʔƛ (dubious; also means driftwood, dead log)
50	worm 	utiɣ, utˈiɣ, uˈtix 	^^	tl’úk’x̱ 	chʼosh 	[no original term] 		qo(ː) 		hoi, (older sources) o-n 	χuhχ (earthworm, moth)
