№ 	English 	PIE	Ainu 	Nivkh 	Yukaghir 	Chukchi  	Koryak  	Aliutor  	Kerek  	Itelmen  	Yupik
1	I 	iku	ku-, kani 	ɲi 	met 	ɣəm 	ɣəmmo 		umŋu[1] 	kəmma 	kuinga, kwiinga
2	you (singular) 	eu.ni	e-, eani 	cʰi 	tet 	ɣət 	ɣəčči 		hennu 	kəzza 	elpet
3	he 	sin	Φ-, sinuma 	if (Amur) jaŋ (Sakhalin) 	тудел (tudel) 	"ənkəŋ (""to him"") "	ənno 		ennu 	ənna
4	we 	on	a-/-an (incl.), aoka, ci-/-as (excl.), coka 	"ɲɨŋ (excl.) mer (""we and you-PL."") megi (""we and thou"") "	mit 	muri 	muji (du.), muju (pl.) 			muza'n
5	you (plural) 	euch, ka	eci-, ecioka 	cʰɨŋ 	тит (tit) 	turi 	tuji (du.), tuju (pl.) 		meey 	tuza'n
6	they 	eux	Φ-, oka 	imŋ 	титтел (tittel) 		əčči (du.), əčču (pl.) 		teey 	itχ
7	this 	den.pe	tanpe 	tɨ tu, tun (Sakhalin) 	tuŋ (adj.) 		wuččin- 		ičči 	ty'n, ty'nnu
8	that 	den.pe	toanpe 	hɨ, hu (adj.) hɨʤ, hud (pron.) 	taŋut (pron.) 		əɲɲin (med.), ŋajen (dist.) 			nu
9	here 	da	te 	tur, tus tunx tuin 	ten 		wutku 			nuxqene, ɳu'n
10	there 	den.que?	toan uske 	hur, hus 	"taŋudeŋ (""thither"") "		ŋanko 			χu
11	who 	na whon	nen hunna 	aŋ, aŋa 	kin 	meŋin, mikəne 	meki 			k'e (singular), k'nəntx (plural)
12	what 	na … ?	nep hemanta 	sidʒ 	leme, lem-, neme, nem- qa, qaj, qo, qoj, (V-)ʁa 	rʔenut 	jənnə 			ɐɳqa
13	where 	wo.na	hunak 	řajn, rajn 	"qadungə, qado:ngə qol, qoʎ (before -ʎə ""be"") "		miŋki, məʔenno/menno (pred.) 			ma'14 	when 	henpara 	ɨɣr, ɨɨr, ɨɨř 	qaɲin, qajin, qajn 	tite 	tite 			it'e
15	how 	---	makanak 	jaʁoc, jaɣodʒ, jaɣut, jagut, jangur sidʒ-ɣir 	"qodo, qod, qoda: qojt (""why"") "	miŋkri 	miŋkəje 			last
16	not 	---	somo 	"qʰau (""be not"") "	"el øjʎə, øjʎ(-V), øjʎe:- (""be not, have not"") "					qa'm (present and past simple), xenʔtʃ (future time), zaq (imperative mood)
17	all 		opitta 	sɨk 	jawner (subj.), jawnuo (obj.), jawnej (adj.) c͡çumu, c͡çumut 	ym- 	əməŋ 			miɫ
18	many 		poronno 	"tam (""numerous"") malʁo (""much"") erʁali "	"poj(-uol) (""multiple"") ningə, ning(-V), ninge:(-ʎəl) "	myk- 	mk-, ŋənvəq 			mejim, mejeŋ, ptos, əmptova, estʃaq
19	some 		ponno 	"ɲoɲuq, niɲaq (""a bit"") "	i:le 					la'lsxe'nʔtʃ
20	few 		moyo 	"hɨsk- (""to be few in number"") "	alʁamla 		teʔi 			uʎuq
21	other 		oya 	ena 	jien 		qullu 			qula
