No. 	English 	日本語 Kanji characters 	にほんご Hiragana syllabary 	nihongo Hepburn romanization	PIE			
1	I 	私 	わたし 	watashi	wo…			
2	you (singular) 		あなた (formal) 	anata	an ta!			
3	he 	彼 	かれ 	kare				
4	we 	私達 	わたしたち 	watashitachi				
5	you (plural) 	貴方達 	あなたたち 	anatatachi				
6	they 	彼等, 彼ら 	かれら 	karera				
7	this 		これ 	kore	ce			
8	that 		あれ 	are				
9	here 		ここ 	koko				
10	there 		そこ 	soko				
11	who 	誰 (interrogative) 	だれ 	dare				
12	what 	何 (interrogative) 	なに 	nani				
13	where 		どこ (interrogative) 	doko				
14	when 		いつ (interrogative) 	itsu				
15	how 		いかが (interrogative) 	ikaga				
16	not 		な, ない  	Na, -nai	no 	+++		
17	all 	全て, 皆 	すべて, みな 	subete, mina	many			
18	many 	多い 	おおい 	ooi	all			
19	some 	少し 	すこし 	sukoshi				
20	few 	少ない 	すくない 	sukunai				
21	other 	他 	ほか 	hoka	auch, ak			
22	one 	一つ 	ひとつ 	hito(tsu)	firsto			
23	two 	二つ 	ふたつ 	futa(tsu)	𓈋 butwai			
24	three 	三つ 	みっつ 	mi(ttsu)	𓈉	--		
25	four 	四つ 	よっつ 	yot(tsu)				
26	five 	五つ 	いつつ 	itsu(tsu)	pintsu	-- 		
27	big 	大きい 	おおきい 	ōkii	aka	++		
28	long 	長い 	ながい 	nagai	𓈖 	< 	<> (throw, long)	
29	wide 	広い 	ひろい 	hiroi	𓀠 ghiro™	++		
30	thick 	厚い 	あつい 	atsui		~		
31	heavy 	重い 	おもい 	omoi			<> thought	
32	small 	小さい 	ちいさい 	chīsai	chicksa	™ ++		
33	short 	短い 	みじかい 	mijikai	micra	++		
34	narrow 	狭い 	せまい 	semai	schmal	++		
35	thin 	細い 	ほそい 	hosoi	hose?			
36	woman 	女 	おんな 	onna	Anne	+™		
37	man (male) 	男 	おとこ 	otoko				
38	man (human) 	人 	ひと 	hito				
39	child 	子 	こ 	ko	khái.zi 孩 子	+++		
40	wife 	妻 	つま 	tsuma	syma	™		
41	husband 	夫 	おっと 	otto	Otto ;)	;)		
42	mother 	母 	はは 	haha	Haha :)	;)		
43	father 	父 	ちち 	chichi	--			
44	animal 	獣 	けもの 	kemono	kaminol	+- ;)	<<	
45	fish 	魚 	うお, さかな 	uo, sakana	Eau,yu	+™		
46	bird 	鳥 	とり 	tori	tyr!!!	+++		
47	dog 	犬 	いぬ 	inu	chienu	+-		
48	louse 	虱 	しらみ 	shirami	krumi:red	+++		
49	snake 	蛇 	へび 	hebi	hὄφις serpent	<> harpie?		
50	worm 	蚯蚓 	みみず 	mimizu				
51	tree 	木 	き 	ki	果 gourün			
52	forest 	森 	もり 	mori	*** 𒀯 multi!	+? ™		
53	stick 	棒 	つえ 	tsue	~			
54	fruit 	果物 	くだもの 	kudamono	Gourdamon!果木 🌔🍋	<<<+++	木.da.ment	thing of tree!!
55	seed 	種 	たね 	tane	~thame same			
56	leaf 	葉 	は 	ha		ko		
57	root 	根 	ね 	ne	Neé gene	+	Navel …	
58	bark (of a tree) 	樹皮 	じゅひ 	juhi				
59	flower 	花 	はな 	hana	hua hue			
60	grass 	草 	くさ 	kusa	~			
